Regulon_ID,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3398,AADACL4_code_potential_somatic,ENSG00000120149,R-3398,-1,1.651721622,0.190051625,7.47E-06,-3.390523117,2.343137622,0.5
1235,AADACL4_code_potential_somatic,ENSG00000110777,R-1235,-1,2.859303888,0.367548296,5.70E-19,-3.687393104,1.764559462,1
3061,AASS_code_potential_somatic,ENSG00000124782,R-3061,1,1.915417139,-0.244254106,6.92E-09,-4.150917846,1.600083113,1
2320,AASS_code_potential_somatic,ENSG00000135457,R-2320,-1,2.780551867,0.614778927,2.86E-58,-10.95213394,21.86330438,1
366,AASS_code_potential_somatic,ENSG00000163497,R-366,-1,2.817340193,0.289401873,4.93E-12,-5.057777662,2.038477608,1
2961,AASS_code_potential_somatic,ENSG00000099326,R-2961,-1,4.246123823,0.197617268,3.14E-06,-4.090761279,1.602909133,1
2959,AASS_code_potential_somatic,ENSG00000099326,R-2959,-1,4.246123823,-0.175638809,3.56E-05,4.972905093,1.587639996,1
1889,AASS_code_potential_somatic,ENSG00000185697,R-1889,-1,4.50630286,0.516948539,8.97E-39,-4.176077351,1.696028747,1
3352,AASS_code_potential_somatic,ENSG00000102974,R-3352,-1,2.447142276,0.268965936,1.55E-10,-4.173410001,1.553815334,1
3637,AASS_code_potential_somatic,ENSG00000076604,R-3637,-1,1.490714384,0.351979391,1.99E-17,-4.812154836,1.988101096,1
3636,AASS_code_potential_somatic,ENSG00000076604,R-3636,-1,1.490714384,0.340175547,2.60E-16,-5.890311082,2.4446261,1
3638,AASS_code_potential_somatic,ENSG00000076604,R-3638,-1,1.490714384,-0.323627078,7.93E-15,3.700246092,1.368454802,1
2214,AASS_code_potential_somatic,ENSG00000187140,R-2214,-1,1.340026448,-0.238710898,1.54E-08,8.263320628,4.590287279,1
2229,AASS_code_potential_somatic,ENSG00000187140,R-2229,-1,1.340026448,-0.299498834,8.06E-13,3.865362973,1.720372807,1
894,ABCA10_code_potential_somatic,ENSG00000154727,R-894,1,1.535545556,0.374595746,1.07E-19,7.446206668,3.491943452,1
1843,ABCA10_code_potential_somatic,ENSG00000108788,R-1843,1,1.63529944,0.695352584,2.26E-80,5.311118151,2.599266741,1
