Regulon_ID,HRFrench,Cox-p-valueFrench
1108,-5.971275997,2.35E-09
1459,5.968629663,2.39E-09
3330,5.960919407,2.51E-09
2161,5.953787387,2.62E-09
29,5.951317267,2.66E-09
1303,5.950584737,2.67E-09
3179,5.947224638,2.73E-09
2720,5.94265996,2.80E-09
1744,5.933094169,2.97E-09
2103,5.930400765,3.02E-09
3327,5.928372546,3.06E-09
1171,5.922533244,3.17E-09
464,-5.922492977,3.17E-09
777,5.921605625,3.19E-09
3599,5.916228994,3.29E-09
2627,5.916119146,3.30E-09
242,5.915260587,3.31E-09
3078,5.914415109,3.33E-09
3208,-5.911366069,3.39E-09
475,-5.903187645,3.57E-09
1781,-5.903187645,3.57E-09
1728,-5.899099596,3.65E-09
1739,5.897808349,3.68E-09
743,5.897405246,3.69E-09
1842,-5.894757396,3.75E-09
3383,-5.893454354,3.78E-09
3677,5.880526184,4.09E-09
2992,5.877340401,4.17E-09
2910,5.865991139,4.46E-09
3536,-5.864026393,4.52E-09
408,5.857177809,4.71E-09
1989,5.851063869,4.88E-09
3597,5.845335345,5.06E-09
688,-5.84393956,5.10E-09
375,5.843814513,5.10E-09
2854,5.84322881,5.12E-09
1357,5.84060243,5.20E-09
3664,5.840024281,5.22E-09
1951,-5.836275401,5.34E-09
653,5.827977092,5.61E-09
1437,5.819668185,5.90E-09
391,5.818130469,5.95E-09
1793,5.815275767,6.05E-09
1367,5.814919366,6.07E-09
295,5.814134886,6.09E-09
3466,5.812948538,6.14E-09
775,5.812019892,6.17E-09
448,5.804700336,6.45E-09
496,5.804700336,6.45E-09
2102,5.796151537,6.79E-09
1064,-5.79607474,6.79E-09
2170,5.790124788,7.03E-09
565,-5.787619712,7.14E-09
1784,5.787348644,7.15E-09
1662,-5.78118432,7.42E-09
