Regulon_ID,PCA_1VarFrench,PCA_1VarNonRegulonGeneSet,PCA_1RandomVarAvg,NumGoodCalls,PCA_1RandomPValFrench,Diff_PCA_1VarRegulonVsNonRegulon,Diff_PCA_1VarRegulonVsAvgRand,PCA_1VarNonMemberGeneSet,PCA_1RandomVarAvgNonMember,NumGoodCallsNonMember,PCA_1RandomPValNonMemberFrench,Diff_PCA_1VarRegulonVsNonMember,Diff_PCA_1VarRegulonVsAvgRandNonMember
155,0.516031647,0.245212051,0.248425398,0,0.001996008,0.270819596,0.267606249,0.186364696,0.390588746,0,0.001996008,0.329666951,0.125442901
156,0.585021688,0.174367474,0.197092296,0,0.001996008,0.410654214,0.387929392,0.20319492,0.458898507,0,0.001996008,0.381826767,0.126123181
157,0.592035321,0.218961943,0.251360802,0,0.001996008,0.373073378,0.340674519,0.205126571,0.481312227,0,0.001996008,0.38690875,0.110723094
158,0.608132688,0.227032364,0.258784684,0,0.001996008,0.381100324,0.349348004,0.249973021,0.43994364,0,0.001996008,0.358159667,0.168189048
159,0.492121879,0.209773114,0.274270531,0,0.001996008,0.282348765,0.217851348,0.239874174,0.315682939,0,0.001996008,0.252247705,0.17643894
160,0.562162223,0.275853104,0.314148543,0,0.001996008,0.286309119,0.24801368,0.28435361,0.366428953,0,0.001996008,0.277808613,0.19573327
161,0.673512878,0.19631246,0.262263129,0,0.001996008,0.477200418,0.411249748,0.286059709,0.485827477,0,0.001996008,0.387453168,0.1876854
162,0.740853787,0.22724045,0.318078507,0,0.001996008,0.513613336,0.42277528,0.320331679,0.455740347,0,0.001996008,0.420522108,0.28511344
163,0.722054486,0.239538489,0.308824662,0,0.001996008,0.482515998,0.413229824,0.263351817,0.580997674,0,0.001996008,0.45870267,0.141056812
164,0.665527796,0.215662887,0.296287363,0,0.001996008,0.449864909,0.369240433,0.283632436,0.381674722,0,0.001996008,0.38189536,0.283853074
165,0.722714926,0.240644413,0.30769531,0,0.001996008,0.482070513,0.415019616,0.271495624,0.59653872,0,0.001996008,0.451219302,0.126176206
166,0.734540367,0.241110852,0.304495715,0,0.001996008,0.493429515,0.430044652,0.312634554,0.589990778,0,0.001996008,0.421905813,0.144549589
167,0.527828229,0.147038187,0.291673197,0,0.001996008,0.380790042,0.236155032,0.261402959,0.388439996,0,0.001996008,0.26642527,0.139388233
168,0.749454863,0.243376428,0.366616108,0,0.001996008,0.506078436,0.382838755,0.438541739,0.559938953,0,0.001996008,0.310913124,0.18951591
169,0.498717634,0.181705377,0.360199633,9,0.01996008,0.317012256,0.138518001,0.321369938,0.374005828,0,0.001996008,0.177347695,0.124711805
170,0.619413523,0.200909508,0.380652258,0,0.001996008,0.418504016,0.238761265,0.308908246,0.388104429,0,0.001996008,0.310505277,0.231309094
171,0.866979772,0.238294237,0.376166505,0,0.001996008,0.628685535,0.490813267,0.420628019,0.761166335,0,0.001996008,0.446351754,0.105813437
172,0.837167607,0.212013757,0.366734956,0,0.001996008,0.62515385,0.470432651,0.342990561,0.661969933,0,0.001996008,0.494177046,0.175197673
173,0.667110455,0.195409884,0.358439277,0,0.001996008,0.471700571,0.308671178,0.376639233,0.49908754,0,0.001996008,0.290471222,0.168022915
174,0.603073778,0.184353731,0.182002753,0,0.001996008,0.418720048,0.421071025,0.266821854,0.559222164,0,0.001996008,0.336251924,0.043851615
175,0.550383752,0.24064253,0.246847697,0,0.001996008,0.309741222,0.303536055,0.223279759,0.439417954,0,0.001996008,0.327103993,0.110965798
176,0.694313458,0.173827358,0.210238078,0,0.001996008,0.5204861,0.48407538,0.246010557,0.520077005,0,0.001996008,0.448302901,0.174236454
177,0.645809434,0.18936712,0.239176967,0,0.001996008,0.456442315,0.406632468,0.386654372,0.461975116,0,0.001996008,0.259155062,0.183834319
